"Time","Source","Destiny","SrcPort","DstPort","Protocol","Frame","Ack"
"3.028129","192.168.121.10","192.168.122.20","55956","21","FTP","334",""
"3.028133","192.168.122.20","192.168.121.10","21","55956","TCP","335",""
"3.028141","192.168.121.10","192.168.122.20","55956","21","FTP","336",""
"3.028155","192.168.122.20","192.168.121.10","21","55956","TCP","337","330"
"3.028162","192.168.121.10","192.168.122.20","55956","21","FTP","338",""
"3.028165","192.168.122.20","192.168.121.10","21","55956","TCP","339","331"
"3.028168","192.168.121.10","192.168.122.20","55956","21","FTP","340",""
"3.028536","192.168.122.20","192.168.121.10","21","55956","TCP","341","333"
"3.028554","192.168.121.10","192.168.122.20","55956","21","FTP","342",""
"3.028574","192.168.121.10","192.168.122.20","55956","21","FTP","343",""
"3.028579","192.168.122.20","192.168.121.10","21","55956","TCP","344",""
"3.028590","192.168.121.10","192.168.122.20","55956","21","FTP","345",""
"3.028596","192.168.122.20","192.168.121.10","21","55956","TCP","346",""
"3.028605","192.168.121.10","192.168.122.20","55956","21","FTP","347",""
"3.028609","192.168.121.10","192.168.122.20","55956","21","FTP","348",""
"3.028615","192.168.122.20","192.168.121.10","21","55956","TCP","349","334"
"3.028623","192.168.121.10","192.168.122.20","55956","21","FTP","350",""
"3.028951","192.168.122.20","192.168.121.10","21","55956","TCP","351",""
"3.028967","192.168.121.10","192.168.122.20","55956","21","FTP","352",""
"3.028985","192.168.122.20","192.168.121.10","21","55956","TCP","353",""
"3.028995","192.168.121.10","192.168.122.20","55956","21","FTP","354",""
"3.028999","192.168.122.20","192.168.121.10","21","55956","TCP","355",""
"3.029006","192.168.121.10","192.168.122.20","55956","21","FTP","356",""
"3.029241","192.168.122.20","192.168.121.10","21","55956","TCP","357","350"
"3.029255","192.168.121.10","192.168.122.20","55956","21","FTP","358",""
"3.029271","192.168.121.10","192.168.122.20","55956","21","FTP","359",""
"3.029277","192.168.121.10","192.168.122.20","55956","21","FTP","360",""
"3.029520","192.168.122.20","192.168.121.10","21","55956","TCP","361",""
"3.029533","192.168.121.10","192.168.122.20","55956","21","FTP","362",""
"3.029548","192.168.121.10","192.168.122.20","55956","21","FTP","363",""
"3.029554","192.168.122.20","192.168.121.10","21","55956","TCP","364",""
"3.029562","192.168.121.10","192.168.122.20","55956","21","FTP","365",""
"3.029820","192.168.122.20","192.168.121.10","21","55956","TCP","366","354"
"3.029833","192.168.121.10","192.168.122.20","55956","21","FTP","367",""
"3.029850","192.168.121.10","192.168.122.20","55956","21","FTP","368",""
"3.029855","192.168.122.20","192.168.121.10","21","55956","TCP","369","365"
"3.029863","192.168.121.10","192.168.122.20","55956","21","FTP","370",""
"3.030103","192.168.122.20","192.168.121.10","21","55956","TCP","371",""
"3.030116","192.168.121.10","192.168.122.20","55956","21","FTP","372",""
"3.030133","192.168.122.20","192.168.121.10","21","55956","TCP","373","359"
"3.030146","192.168.121.10","192.168.122.20","55956","21","FTP","374",""
"3.030154","192.168.122.20","192.168.121.10","21","55956","TCP","375",""
"3.030162","192.168.121.10","192.168.122.20","55956","21","FTP","376",""
"3.030397","192.168.122.20","192.168.121.10","21","55956","TCP","377",""
"3.030410","192.168.121.10","192.168.122.20","55956","21","FTP","378",""
